#V3.30 -trans-beta;_2018_06_05;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
#Stock Synthesis (SS) is a work of the U.S. Government and is not subject to copyright protection in the United States.
#Foreign copyrights may apply. See copyright.txt for more information.
#_user_support_available_at:NMFS.Stock.Synthesis@noaa.gov
#_user_info_available_at:https://vlab.ncep.noaa.gov/group/stock-synthesis
#_Start_time: Tue Jun 18 12:44:24 2019
#_Number_of_datafiles: 1
#C	This	data	file	is	built	to	mimic	the	2011	asapm	model			
#C	All	assumptions	are	as	in	the	asapm	model						
#_observed data: 
#V2.20.12.00-trans-beta;_2018_06_05;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
#Stock Synthesis (SS) is a work of the U.S. Government and is not subject to copyright protection in the United States.
#Foreign copyrights may apply. See copyright.txt for more information.
1945 #_StartYr
2017 #_EndYr
1    #_Nseas
12   #_months/season
4    #_Nsubseasons (even number, minimum is 2)
1 #_spawn_month
1 #_Ngenders
15 #_Nages=accumulator age
1 #_Nareas
9 #_Nfleets (including surveys)
#_fleet_type: 1=catch fleet; 2=bycatch only fleet; 2=survey; 4=ignore
#_survey_timing: -1=for use of catch-at-age to override the month value associated with a datum 
#_fleet_area:  area the fleet/survey operates in 
#_units of catch:  1=bio; 2=num (ignored for surveys; their units read later)
#_catch_mult: 0=no; 1=yes
#_rows are fleets
#_fleet_type timing area units need_catch_mult fleetname
 1 -1 1 2 0 Rec_E_1  # 1
 1 -1 1 1 0 Com_E_2  # 2
 1 -1 1 1 0 Com_LL_2  # 2
 2 -1 1 2 0 Shrimp_Eff_4  # 4
 3 0.5 1 2 0 MRFSS_5  # 5
 1 -1 1 2 0 HB_E_6  # 6
 3 0.5 1 2 0 LarvalGW_7  # 7
 3 0.5 1 2 0 SEAMAP_Trawl_E_8  #8
 3 0.5 1 2 0 Video_GW_9        #9
#Bycatch_fleet_input_goes_next
#a:  fleet index
#b:  1=include dead bycatch in total dead catch for F0.1 and MSY optimizations and forecast ABC; 2=omit from total catch for these purposes (but still include the mortality)
#c:  1=Fmult scales with other fleets; 2=bycatch F constant at input value; 2=bycatch F from range of years
#d:  F or first year of range
#e:  last year of range
#f:  not used
# a   b   c   d   e   f 
 4 1 1 1946 2017 0  # Shrimp_Eff_6
#_Catch data: yr, seas, fleet, catch, catch_se
#_catch_se:  standard error of log(catch)
#_NOTE:  catch data is ignored for survey fleets
-999	1	1	0	0.05
1945	1	1	1	0.05
1946	1	1	3.55	0.05
1947	1	1	19.19	0.05
1948	1	1	31.66	0.05
1949	1	1	44.14	0.05
1950	1	1	61.8	0.05
1951	1	1	75.26	0.05
1952	1	1	88.71	0.05
1953	1	1	102.16	0.05
1954	1	1	115.62	0.05
1955	1	1	129.07	0.05
1956	1	1	137.08	0.05
1957	1	1	145.1	0.05
1958	1	1	153.11	0.05
1959	1	1	161.12	0.05
1960	1	1	169.13	0.05
1961	1	1	170.01	0.05
1962	1	1	170.89	0.05
1963	1	1	171.76	0.05
1964	1	1	172.64	0.05
1965	1	1	173.52	0.05
1966	1	1	176.82	0.05
1967	1	1	180.12	0.05
1968	1	1	183.43	0.05
1969	1	1	186.73	0.05
1970	1	1	190.03	0.05
1971	1	1	193.7	0.05
1972	1	1	204.79	0.05
1973	1	1	216.57	0.05
1974	1	1	220.75	0.05
1975	1	1	227.46	0.05
1976	1	1	239.81	0.05
1977	1	1	260.46	0.05
1978	1	1	273.04	0.05
1979	1	1	284.93	0.05
1980	1	1	294.4	0.05
1981	1	1	507	0.05
1982	1	1	1242	0.05
1983	1	1	271	0.05
1984	1	1	113	0.05
1985	1	1	201	0.05
1986	1	1	534	0.05
1987	1	1	844	0.05
1988	1	1	735	0.05
1989	1	1	1248	0.05
1990	1	1	1930	0.05
1991	1	1	1323	0.05
1992	1	1	1317	0.05
1993	1	1	918	0.05
1994	1	1	731	0.05
1995	1	1	862	0.05
1996	1	1	358	0.05
1997	1	1	361	0.05
1998	1	1	565	0.05
1999	1	1	432	0.05
2000	1	1	297	0.05
2001	1	1	415	0.05
2002	1	1	955	0.05
2003	1	1	1155	0.05
2004	1	1	972	0.05
2005	1	1	711	0.05
2006	1	1	439	0.05
2007	1	1	405	0.05
2008	1	1	286	0.05
2009	1	1	151	0.05
2010	1	1	296	0.05
2011	1	1	442	0.05
2012	1	1	202	0.05
2013	1	1	316	0.05
2014	1	1	126	0.05
2015	1	1	52	0.05
2016	1	1	299	0.05
2017	1	1	225	0.05
-999	1	2	0	0.05
1945	1	2	0.01	0.05
1946	1	2	0.08	0.05
1947	1	2	0.16	0.05
1948	1	2	0.23	0.05
1949	1	2	0.31	0.05
1950	1	2	0.39	0.05
1951	1	2	0.47	0.05
1952	1	2	0.55	0.05
1953	1	2	0.63	0.05
1954	1	2	0.7	0.05
1955	1	2	0.78	0.05
